,BNF_code,NAME,UNII_drugbank
37,0102000E0,Gentian                                                     ,[]
38,0102000F0,Atropine Methonitrate                                       ,7C0697DR9I
39,0102000G0,Cisapride                                                   ,UVL329170W
40,0102000H0,Belladonna Alkaloids                                        ,[]
41,0102000I0,Clove Oil                                                   ,[]
42,0102000J0,Dicycloverine Hydrochloride                                 ,[]
43,0102000K0,Dicycloverine HCl Compound Preparations                     ,[]
44,0102000L0,Glycopyrronium Bromide                                      ,A14FB57V1D
45,0102000M0,Oxyphenonium Bromide                                        ,D2G5508Y7I
46,0102000N0,Hyoscine Butylbromide                                       ,[]
47,0102000P0,Mebeverine Hydrochloride                                    ,7F80CC3NNV
48,0102000Q0,Oxybutynin                                                  ,K9P6MC7092
49,0102000R0,Mepenzolate Bromide                                         ,ONW3LB39P7
50,0102000S0,Penthienate Methobromide                                    ,6LCT38OJV9
51,0102000T0,Peppermint Oil                                              ,[]
52,0102000U0,Pipenzolate Bromide                                         ,RS3K5YXV34
53,0102000V0,Piperidolate Hydrochloride                                  ,RJO31255V9
54,0102000W0,Poldine Metilsulfate                                        ,8R92106W2F
55,0102000X0,Mebeverine HCl Compound Preparations                        ,7F80CC3NNV
56,0102000Y0,Propantheline Bromide                                       ,1306V2B0Q8
57,0102000Z0,Pipenzolate Bromide Compound Prep's                         ,RS3K5YXV34
58,010200000,Other Antispasm & Alt Gut Motility Preps                    ,[]
59,010200010,Papaverine Hydrochloride                                    ,DAA13NKG2Q
60,010200030,Trospium Chloride                                           ,T4Y8ORK057
61,010300000,Other Test For Helicobacter Pylori Preps                    ,[]
62,0103010D0,Cimetidine                                                  ,80061L1WGD
63,0103010E0,Cimetidine With Alginate                                    ,80061L1WGD
64,0103010H0,Famotidine                                                  ,5QZO15J2Z8
65,0103010N0,Nizatidine                                                  ,P41PML4GHR
66,0103010S0,Ranitidine Bismuth Citrate                                  ,884KT10YB7
67,0103010T0,Ranitidine Hydrochloride                                    ,884KT10YB7
68,0103020P0,Pirenzepine                                                 ,3G0285N20N
69,0103030D0,Bismuth Chelate                                             ,[]
70,0103030S0,Sucralfate                                                  ,XX73205DH5
71,0103030W0,Tripotassium Dicitratobismuthate                            ,[]
72,0103040M0,Misoprostol                                                 ,0E43V0BB57
73,0103050A0,Helicobacter Pylori Eradication Therapy                     ,[]
74,0103050E0,Esomeprazole                                                ,N3PA6559FT
75,0103050L0,Lansoprazole                                                ,0K5C5T2QPG
76,0103050P0,Omeprazole                                                  ,KG60484QX9
77,0103050R0,Pantoprazole                                                ,D8TST4O562
78,0103050T0,Rabeprazole Sodium                                          ,32828355LL
79,0103060D0,Carbenoxolone Sodium                                        ,MM6384NG73
80,0103060E0,Carbenoxolone Sodium Compound Prep's                        ,MM6384NG73
81,0103060N0,Liquorice Deglycyrrhizinised                                ,[]
82,0103060P0,Proglumide                                                  ,EPL8W5565D
83,0104010B0,Ceratonia                                                   ,[]
84,0104010C0,Activated Attapulgite                                       ,U6V729APAM
85,0104010D0,Chalk                                                       ,[]
86,0104010H0,Kaolin Light                                                ,24H4NWX5CO
87,010401000,Other Adsorbent & Bulk-Forming Preps                        ,[]
88,0104020D0,Codeine Phosphate Compound Mixtures                         ,UX6OWY2V7J
89,0104020H0,Co-Phenotrope (Diphenox HCl/Atrop Sulph)                    ,[]
90,0104020L0,Loperamide Hydrochloride                                    ,6X9OC3H4II
91,0104020N0,Opium & Morphine                                            ,76I7G6D29C
92,0104020P0,Loperamide Hydrochloride & Simeticone                       ,6X9OC3H4II
93,010402000,Other Antimotility Preps                                    ,[]
94,0104030A0,Racecadotril                                                ,76K53XP4TO
95,010500000,Other Chronic Bowel Disorder Preps                          ,[]
96,0105010A0,Aminosalicylic Acid                                         ,5B2658E0N2
97,0105010B0,Mesalazine (Systemic)                                       ,4Q81I59GXC
98,0105010C0,Olsalazine Sodium                                           ,ULS5I8J03O
99,0105010D0,Balsalazide Sodium                                          ,P80AL8J7ZP
100,0105010E0,Sulfasalazine                                               ,3XC8GUZ6CB
101,0105020A0,Budesonide                                                  ,Q3OKS62Q6X
102,0105020B0,Hydrocortisone Acetate                                      ,WI4X0X7BPJ
103,0105020C0,Hydrocortisone                                              ,WI4X0X7BPJ
104,0105020D0,Prednisolone Sodium Metasulphobenzoate                      ,9PHQ9Y1OLM
105,0105020E0,Prednisolone Sodium Phosphate                               ,9PHQ9Y1OLM
106,0105020F0,Prednisolone                                                ,9PHQ9Y1OLM
107,0105020G0,Beclometasone Dipropionate (Systemic)                       ,[]
108,0105030A0,Vedolizumab                                                 ,9RV78Q2002
109,0105040A0,Sodium Cromoglicate                                         ,[]
110,0106010C0,Bran                                                        ,[]
111,0106010D0,Carmellose Sodium                                           ,[]
112,0106010E0,Ispaghula Husk                                              ,[]
113,0106010H0,Methylcellulose                                             ,[]
114,0106010N0,Sterculia                                                   ,[]
115,010601000,Other Bulk-Forming Laxative Preps                           ,[]
116,0106020A0,Aloes                                                       ,[]
117,0106020B0,Co-Danthramer (Dantron/Poloxamer 188)                       ,[]
118,0106020C0,Bisacodyl                                                   ,10X0709Y6I
119,0106020E0,Cascara                                                     ,[]
120,0106020F0,Castor Oil                                                  ,D5340Y2I9G
121,0106020H0,Colocynth & Jalap                                           ,[]
122,0106020I0,Docusate Sodium                                             ,[]
123,0106020J0,Co-Danthrusate (Dantron/Docusate Sod)                       ,[]
124,0106020K0,Fig                                                         ,[]
125,0106020L0,Glycerol                                                    ,[]
126,0106020M0,Senna                                                       ,[]
127,0106020N0,Phenolphthalein                                             ,6QK969R2IF
128,0106020P0,Sodium Picosulfate                                          ,[]
129,0106020Q0,Oxyphenisatine                                              ,[]
130,0106020R0,Rhubarb                                                     ,[]
131,0106020S0,Sulfur Precipitated                                         ,[]
132,0106020U0,Phenolphthalein & Rhubarb                                   ,6QK969R2IF
133,010602000,Other Stimulant Laxative Preps                              ,[]
134,0106030A0,Arachis Oil                                                 ,[]
135,0106030P0,Liquid Paraffin                                             ,[]
136,0106030R0,Olive Oil                                                   ,[]
137,0106030S0,Soft Soap                                                   ,[]
138,010603000,Other Faecal Softener Preps                                 ,[]
139,0106040F0,Lactitol                                                    ,L2B0WJF7ZY
140,0106040G0,Lactulose                                                   ,9XH2P2N8EP
141,0106040J0,Magnesium Hydroxide                                         ,NBZ3QY004S
142,0106040L0,Magnesium Sulfate                                           ,ML30MJ2U7I
143,0106040M0,Macrogol 3350                                               ,[]
144,0106040N0,Phosphates (Rectal)                                         ,[]
145,0106040R0,Sodium Citrate (Rectal)                                     ,[]
146,0106040T0,Sodium Potassium Tartrate                                   ,RWP5GA015D
147,0106040X0,Macrogol 4000                                               ,[]
148,010604000,Other Osmotic Laxative Preps                                ,[]
149,0106050B0,Bowel Cleansing Solutions                                   ,[]
150,0106050M0,Magnesium Citrate                                           ,RHO26O1T9V
151,0106050N0,Mannitol                                                    ,3OWL53L36A
152,0106050S0,Sodium Picosulfate                                          ,[]
153,0106050T0,Potassium Chloride                                          ,RWP5GA015D
154,0106060A0,Methylnaltrexone Bromide                                    ,0RK7M7IABE
155,0106060B0,Naloxegol                                                   ,44T7335BKE
156,0106070A0,Prucalopride                                                ,0A09IUW5TP
157,0106070B0,Linaclotide                                                 ,N0TXR0XR5X
158,0106070C0,Lubiprostone                                                ,7662KG2R6K
159,0107010AA,Diltiazem Hydrochloride                                     ,EE92BBP03H
160,0107010AB,Isosorbide Mononitrate                                      ,LX1OH63030
161,0107010AC,Phenylephrine Hydrochloride                                 ,1WS297W6MV
162,0107010B0,Acetarsol                                                   ,806529YU1N
163,0107010C0,Adrenaline                                                  ,[]
164,0107010D0,Bismuth Salts                                               ,[]
165,0107010E0,Bismuth Subgallate                                          ,[]
166,0107010G0,Cinchocaine Hydrochloride                                   ,L6JW2TJG99
167,0107010H0,Boric Acid                                                  ,R57ZHV85D4
168,0107010I0,Hamamelis                                                   ,[]
169,0107010J0,Heparinoid                                                  ,[]
170,0107010L0,Isosorbide Dinitrate                                        ,IA7306519N
171,0107010N0,Lidocaine Hydrochloride                                     ,98PI200987
172,0107010S0,Sucralfate                                                  ,XX73205DH5
173,0107010T0,Benzocaine                                                  ,U3RSY48JW5
174,0107010Z0,Zinc Oxide                                                  ,J41CSQ7QDS
175,010701000,Other Soothing Haemorrhoidal Preps                          ,[]
176,0107020B0,Betamethasone                                               ,9842X06Q6M
177,0107020F0,Fluocortolone                                               ,65VXC1MH0J
178,0107020J0,Hydrocortisone                                              ,WI4X0X7BPJ
179,0107020P0,Prednisolone                                                ,9PHQ9Y1OLM
180,0107030P0,Phenol                                                      ,339NCG44TV
181,0107040A0,Glyceryl Trinitrate                                         ,[]
182,0107040B0,Nifedipine                                                  ,I9ZF7L6G2L
183,0108010A0,Adhesives                                                   ,[]
184,0108010B0,Adhesive Remover                                            ,[]
185,0108010D0,Deodorants                                                  ,[]
186,0108010S0,Skin Protectives Fillers & Cleansers                        ,[]
187,0109010G0,Chenodeoxycholic Acid                                       ,0GEI24LG0J
188,0109010H0,Cholic Acid                                                 ,G1JO7801AE
189,0109010M0,Dehydrocholic Acid                                          ,[]
190,0109010R0,Other Preparations For Biliary Disorders                    ,[]
191,0109010U0,Ursodeoxycholic Acid                                        ,724L30Y2QR
192,0109020B0,Betaine Hydrochloride                                       ,[]
193,0109020G0,Glutamic Acid Hydrochloride                                 ,[]
194,010902000,Other Bile Acid Sequestrant Preps                           ,[]
195,0109040N0,Pancreatin                                                  ,[]
196,010904000,Other Pancreatin Preps                                      ,[]
197,0201010AA,Digoxin Antibody                                            ,73K4184T59
198,0201010D0,Digitoxin                                                   ,E90NZP2L9U
199,0201010F0,Digoxin                                                     ,73K4184T59
200,0201010M0,Lanatoside C                                                ,5RR3JFZ771
201,0201010P0,Medigoxin                                                   ,[]
202,0201010S0,Ouabain                                                     ,5ACL011P69
203,0201010U0,Prepared Digitalis                                          ,[]
204,0201010V0,Proscillaridin                                              ,KC6BL281EN
205,0201020G0,Enoximone                                                   ,C7Z4ITI7L7
206,0201020M0,Milrinone Lactate                                           ,JU9YAX04C7
207,0202010B0,Bendroflumethiazide                                         ,5Q52X6ICJI
208,0202010D0,Chlorothiazide                                              ,77W477J15H
209,0202010F0,Chlortalidone                                               ,[]
210,0202010J0,Cyclopenthiazide                                            ,VX4S2N85F5
211,0202010L0,Hydrochlorothiazide                                         ,0J48LPH2TH
212,0202010N0,Hydroflumethiazide                                          ,501CFL162R
213,0202010P0,Indapamide                                                  ,F089I0511L
214,0202010R0,Mefruside                                                   ,X1NS9SNS92
215,0202010T0,Methyclothiazide                                            ,L3H46UAC61
216,0202010V0,Metolazone                                                  ,TZ7V40X7VX
217,0202010X0,Polythiazide                                                ,36780APV5N
218,0202010Y0,Xipamide                                                    ,4S9EY0NUEC
219,0202020D0,Bumetanide                                                  ,0Y2S3XUQ5H
220,0202020H0,Etacrynic Acid                                              ,M5DP350VZV
221,0202020L0,Furosemide                                                  ,7LXU5N7ZO5
222,0202020S0,Piretanide                                                  ,DQ6KK6GV93
223,0202020U0,Torasemide                                                  ,W31X2H97FB
224,020202000,Other Loop Diuretic Preps                                   ,[]
225,0202030C0,Amiloride Hydrochloride                                     ,7DZO8EB0Z3
226,0202030M0,Potassium Canrenoate                                        ,RWP5GA015D
227,0202030S0,Spironolactone                                              ,27O7W4T232
228,0202030W0,Triamterene                                                 ,WS821Z52LQ
229,0202030X0,Eplerenone                                                  ,6995V82D0B
230,0202040A0,Amiloride Hydrochloride With Thiazides                      ,7DZO8EB0Z3
231,0202040B0,Co-Amilofruse (Amiloride HCl/Frusemide)                     ,[]
232,0202040C0,Co-Amilozide (Amiloride HCl/Hydchloroth)                    ,[]
233,0202040D0,Amiloride HCl With Loop Diuretics                           ,7DZO8EB0Z3
234,0202040G0,Co-Flumactone (Hydroflumeth/Spironol)                       ,[]
235,0202040H0,Co-Triamterzide(Triamterene/Hydchloroth)                    ,[]
236,0202040S0,Spironolactone With Thiazides                               ,27O7W4T232
237,0202040T0,Spironolactone With Loop Diuretics                          ,27O7W4T232
238,0202040U0,Triamterene With Loop Diuretics                             ,WS821Z52LQ
239,0202040V0,Triamterene With Thiazides                                  ,WS821Z52LQ
240,0202050I0,Isosorbide                                                  ,[]
241,0202050M0,Mannitol                                                    ,3OWL53L36A
242,0202080B0,Bendroflumethiazide/Potassium                               ,RWP5GA015D
243,0202080C0,Bumetanide/Potassium                                        ,RWP5GA015D
244,0202080D0,Bumetanide/Amiloride Hydrochloride                          ,0Y2S3XUQ5H
245,0202080E0,Chlortalidone/Potassium                                     ,RWP5GA015D
246,0202080F0,Clopamide/Potassium                                         ,RWP5GA015D
247,0202080G0,Cyclopenthiazide/Potassium                                  ,VX4S2N85F5
248,0202080H0,Cyclopenthiazide/Amiloride Hydrochloride                    ,VX4S2N85F5
249,0202080K0,Furosemide/Potassium                                        ,RWP5GA015D
250,0202080M0,Hydrochlorothiazide/Potassium                               ,RWP5GA015D
251,0203020C0,Adenosine                                                   ,K72T3FS567
252,0203020D0,Amiodarone Hydrochloride                                    ,N3RQ532IUT
253,0203020E0,Bretylium Tosilate                                          ,RZR75EQ2KJ
254,0203020F0,Disopyramide                                                ,GFO928U8MQ
255,0203020G0,Disopyramide Phosphate                                      ,GFO928U8MQ
256,0203020I0,Flecainide Acetate                                          ,K94FTS1806
257,0203020L0,Lidocaine Hydrochloride                                     ,98PI200987
258,0203020M0,Lidocaine Hydrochloride Anhydrous                           ,98PI200987
259,0203020P0,Mexiletine Hydrochloride                                    ,1U511HHV4Z
260,0203020Q0,Prajmalium Bitartrate                                       ,[]
261,0203020R0,Propafenone Hydrochloride                                   ,68IQX3T69U
262,0203020S0,Procainamide Hydrochloride                                  ,L39WTC366D
263,0203020T0,Quinidine Bisulfate                                         ,ITX08688JL
264,0203020U0,Quinidine Sulfate                                           ,ITX08688JL
265,0203020V0,Moracizine Hydrochloride                                    ,[]
266,0203020W0,Tocainide Hydrochloride                                     ,27DXO59SAN
267,0203020X0,Dronedarone Hydrochloride                                   ,JQZ1L091Y2
268,0204000AA,Penbutolol Sulfate                                          ,78W62V43DY
269,0204000AB,Nebivolol                                                   ,030Y90569U
270,0204000AC,Bisoprolol Fumarate/Aspirin                                 ,Y41JS2NL6U
271,0204000A0,Atenolol with Thiazides                                     ,50VV3VW0TI
272,0204000B0,Acebutolol Hydrochloride With Diuretic                      ,67P356D8GH
273,0204000C0,Acebutolol Hydrochloride                                    ,67P356D8GH
274,0204000D0,Practolol                                                   ,SUG9176GRW
275,0204000E0,Atenolol                                                    ,50VV3VW0TI
276,0204000F0,Atenolol With Diuretic                                      ,50VV3VW0TI
277,0204000G0,Betaxolol Hydrochloride                                     ,O0ZR1R6RZ2
278,0204000H0,Bisoprolol Fumarate                                         ,Y41JS2NL6U
279,0204000I0,Labetalol Hydrochloride                                     ,R5H8897N95
280,0204000J0,Metoprolol Fumarate                                         ,GEB06NHM23
281,0204000K0,Metoprolol Tartrate                                         ,GEB06NHM23
282,0204000L0,Carteolol Hydrochloride                                     ,8NF31401XG
283,0204000M0,Nadolol                                                     ,FEN504330V
284,0204000N0,Oxprenolol Hydrochloride                                    ,519MXN9YZR
285,0204000P0,Pindolol                                                    ,BJ4HF6IU1D
286,0204000Q0,Propranolol Hydrochloride With Diuretic                     ,9Y8NXQ24VQ
287,0204000R0,Propranolol Hydrochloride                                   ,9Y8NXQ24VQ
288,0204000T0,Sotalol Hydrochloride                                       ,A6D97U294I
289,0204000U0,Atenolol With Calcium Channel Blocker                       ,50VV3VW0TI
290,0204000V0,Timolol                                                     ,5JKY92S7BR
291,0204000W0,Metoprolol Tartrate With Diuretic                           ,GEB06NHM23
292,0204000X0,Nadolol With Diuretic                                       ,FEN504330V
293,0204000Y0,Co-Prenozide (Oxprenolol HCl/Cyclopenth)                    ,[]
294,0204000Z0,Penbutolol Sulphate With Diuretic                           ,78W62V43DY
295,020400010,Pindolol With Diuretic                                      ,BJ4HF6IU1D
296,020400020,Sotalol Hydrochloride With Diuretic                         ,A6D97U294I
297,020400030,Timolol With Diuretic                                       ,5JKY92S7BR
298,020400040,Co-Tenidone (Atenolol/Chlortalidone)                        ,[]
299,020400050,Tertatolol                                                  ,9ZO341YQXP
300,020400060,Celiprolol Hydrochloride                                    ,DRB57K47QC
301,020400070,Esmolol Hydrochloride                                       ,MDY902UXSR
302,020400080,Carvedilol                                                  ,0K47UL67F2
303,020400090,Bisoprolol Fumarate With Diuretic                           ,Y41JS2NL6U
304,0205010AA,Macitentan                                                  ,Z9K9Y9WMVL
305,0205010AB,Riociguat                                                   ,RU3FE2Y4XI
306,0205010E0,Diazoxide                                                   ,O5CB12L4FN
307,0205010J0,Hydralazine Hydrochloride                                   ,26NAK24LS8
308,0205010N0,Minoxidil                                                   ,5965120SH1
309,0205010T0,Sodium Nitroprusside                                        ,169D1260KM
310,0205010U0,Bosentan                                                    ,XUL93R30K2
311,0205010V0,Iloprost                                                    ,JED5K35YGL
312,0205010W0,Sitaxentan Sodium                                           ,J9QH779MEM
313,0205010X0,Ambrisentan                                                 ,HW6NV07QEC
314,0205010Y0,Sildenafil(Vasodilator Antihypertensive)                    ,[]
315,0205010Z0,Tadalafil (Vasodilator Antihypertensive)                    ,742SXX0ICT
316,0205020E0,Clonidine Hydrochloride                                     ,MN3L5RMN02
317,0205020G0,Guanfacine Hydrochloride                                    ,30OMY4G3MK
318,0205020H0,Methyldopa                                                  ,[]
319,0205020I0,Methyldopa With Diuretic                                    ,[]
320,0205020J0,Methyldopate Hydrochloride                                  ,[]
321,0205020M0,Moxonidine                                                  ,CC6X0L40GW
322,0205020N0,Reserpine And Rauwolfia Alkaloids                           ,8B1QWR724A
323,0205020P0,Reserp & Rauw Alk With Alkavervir                           ,[]
324,0205020Q0,Reserp & Rauw Alk With Barbiturate                          ,[]
325,0205020R0,Reserp & Rauw Alk With Diuretic                             ,[]
326,020502000,Other Antihypertensive Preps                                ,[]
327,0205030C0,Betanidine Sulfate                                          ,[]
328,0205030H0,Debrisoquine Sulfate                                        ,X31CDK040E
329,0205030N0,Guanethidine Monosulfate                                    ,ZTI6C33Q2Q
330,0205040D0,Doxazosin Mesilate                                          ,NW1291F1W8
331,0205040I0,Indoramin                                                   ,0Z802HMY7H
332,0205040K0,Ifenprodil Tartrate                                         ,R8OE3P6O5S
333,0205040M0,Phenoxybenzamine Hydrochloride                              ,0TTZ664R7Z
334,0205040P0,Phentolamine Mesilate                                       ,Z468598HBV
335,0205040S0,Prazosin Hydrochloride                                      ,XM03YJ541D
336,0205040V0,Terazosin Hydrochloride                                     ,8L5014XET7
337,0205040W0,Metirosine                                                  ,[]
338,0205051AA,Perindopril Tosilate                                        ,Y5GMK36KGY
339,0205051AB,Perindopril Tosilate/Indapamide                             ,Y5GMK36KGY
340,0205051AC,Perindopril + Calcium Channel Blocker                       ,Y5GMK36KGY
341,0205051C0,Moexipril Hydrochloride                                     ,WT87C52TJZ
342,0205051E0,Cilazapril                                                  ,8Q9454114Q
343,0205051F0,Captopril                                                   ,9G64RSX1XD
344,0205051G0,Co-Zidocapt (Hydchloroth/Captopril)                         ,[]
345,0205051H0,Enalapril Maleate with Diuretic                             ,69PN84IO1A
346,0205051I0,Enalapril Maleate                                           ,69PN84IO1A
347,0205051J0,Fosinopril Sodium                                           ,R43D2573WO
348,0205051K0,Lisinopril with Diuretic                                    ,7Q3P4BS2FD
349,0205051L0,Lisinopril                                                  ,7Q3P4BS2FD
350,0205051M0,Perindopril Erbumine                                        ,Y5GMK36KGY
351,0205051N0,Perindopril Erbumine with Diuretic                          ,Y5GMK36KGY
352,0205051P0,Quinapril Hydrochloride with Diuretic                       ,RJ84Y44811
353,0205051Q0,Quinapril Hydrochloride                                     ,RJ84Y44811
354,0205051R0,Ramipril                                                    ,L35JN3I7SJ
355,0205051S0,Ramipril with Calcium Channel Blocker                       ,SY7Q814VUP
356,0205051U0,Trandolapril                                                ,1T0N3G9CRC
357,0205051V0,Trandolapril + Calcium Channel Blocker                      ,1T0N3G9CRC
358,0205051W0,Imidapril Hydrochloride                                     ,BW7H1TJS22
359,0205051X0,Benazepril Hydrochloride                                    ,UDM7Q7QWP8
360,0205051Y0,Perindopril Arginine                                        ,Y5GMK36KGY
361,0205051Z0,Perindopril Arginine with Diuretic                          ,Y5GMK36KGY
362,0205052AB,Olmesartan Medoxomil/Amlodipine                             ,1J444QC288
363,0205052AC,Olmesartan Medox/Amlodipine/Hydchloroth                     ,1J444QC288
364,0205052AD,Azilsartan Medoxomil                                        ,LL0G25K7I2
365,0205052AE,Sacubitril/Valsartan                                        ,80M03YXJ7I
366,0205052A0,Irbesartan with Diuretic                                    ,J0E2756Z7N
367,0205052B0,Olmesartan Medoxomil                                        ,8W1IQP3U10
368,0205052C0,Candesartan Cilexetil                                       ,S8Q36MD2XX
369,0205052I0,Irbesartan                                                  ,J0E2756Z7N
370,0205052N0,Losartan Potassium                                          ,RWP5GA015D
371,0205052P0,Losartan Potassium With Diuretic                            ,RWP5GA015D
372,0205052Q0,Telmisartan                                                 ,U5SYW473RQ
373,0205052R0,Telmisartan with Diuretic                                   ,U5SYW473RQ
374,0205052V0,Valsartan                                                   ,80M03YXJ7I
375,0205052W0,Eprosartan                                                  ,2KH13Z0S0Y
376,0205052X0,Valsartan with Diuretic                                     ,80M03YXJ7I
377,0205052Y0,Olmesartan Medoxomil/Hydrochlorothiazide                    ,8W1IQP3U10
378,0205053A0,Aliskiren                                                   ,502FWN4Q32
379,0205060R0,Trimetaphan Camsilate                                       ,[]
380,0205080A0,Ketanserin                                                  ,97F9DE4CT4
381,0206010A0,Amyl Nitrite                                                ,H2HUX79FYK
382,0206010F0,Glyceryl Trinitrate                                         ,[]
383,0206010I0,Isosorbide Dinitrate                                        ,IA7306519N
384,0206010K0,Isosorbide Mononitrate                                      ,LX1OH63030
385,0206010V0,Pentaerithritol Tetranitrate                                ,[]
386,0206010W0,Isosorbide Mononitrate with Aspirin                         ,[]
387,0206020A0,Amlodipine                                                  ,1J444QC288
388,0206020B0,Trimetazidine Hydrochloride                                 ,N9A0A0R9S8
389,0206020C0,Diltiazem Hydrochloride                                     ,EE92BBP03H
390,0206020D0,Diltiazem Hydrochloride with Thiazides                      ,EE92BBP03H
391,0206020F0,Felodipine                                                  ,OL961R6O2C
392,0206020I0,Isradipine                                                  ,YO1UK1S598
393,0206020K0,Lacidipine                                                  ,260080034N
394,0206020L0,Lercanidipine Hydrochloride                                 ,V7XTJ4R0BH
395,0206020M0,Nimodipine                                                  ,57WA9QZ5WH
396,0206020N0,Lidoflazine                                                 ,J4ZHN3HBTE
397,0206020P0,Nitrendipine                                                ,9B627AW319
398,0206020Q0,Nicardipine Hydrochloride                                   ,CZ5312222S
399,0206020R0,Nifedipine                                                  ,I9ZF7L6G2L
400,0206020S0,PrenylamineLactate                                          ,[]
401,0206020T0,Verapamil Hydrochloride                                     ,CJ0O37KU29
402,0206020V0,Perhexiline Maleate                                         ,KU65374X44
403,0206020W0,Nisoldipine                                                 ,4I8HAB65SZ
404,0206020X0,Mibefradil                                                  ,27B90X776A
405,0206020Y0,Buflomedil Hydrochloride                                    ,V7I71DQ432
406,0206020Z0,Valsartan/Amlodipine                                        ,1J444QC288
407,0206030N0,Nicorandil                                                  ,260456HAM0
408,0206030Y0,Ivabradine                                                  ,3H48L0LPZQ
409,0206030Z0,Ranolazine                                                  ,A6IEZ5M406
410,0206040AA,Cinnarizine                                                 ,3DI2E1X18L
411,0206040AB,Calcium Dobesilate                                          ,SY7Q814VUP
412,0206040AC,Hydroxyethylrutosides                                       ,[]
413,0206040AD,Kallidinogenase                                             ,OT9M1PSK9N
414,0206040AE,Naftidrofuryl Oxalate                                       ,42H8PQ0NMJ
415,0206040AF,Nicotinic Acid Derivatives                                  ,[]
416,0206040AG,Pentoxifylline                                              ,SD6QCT3TSU
417,0206040AH,Rutosides                                                   ,[]
418,0206040AI,Moxisylyte Hydorchloride                                    ,PW8QYA7KI0
419,0206040AJ,Tolazoline Hydrochloride                                    ,CHH9H12AQ3
420,0206040AK,Xanthinol Nicotinate                                        ,TN1B5910V2
421,0206040AL,Acetyl-L-Carnitine                                          ,[]
422,0206040AM,Co-Dergocrine Mesilate                                      ,[]
423,0206040AN,Cyclandelate                                                ,4139O1OAY2
424,0206040AP,Isoxsuprine Hydrochloride                                   ,R15UI3245N
425,0206040AQ,Pyritinol Hydrochloride                                     ,AK5Q5FZH2R
426,0206040AR,Nicergoline                                                 ,JCV8365FWN
427,0206040AS,Vinpocetine                                                 ,543512OBTC
428,0206040AT,Diosmin/Hesperidin                                          ,7QM776WJ5N
429,0206040W0,Aesculus                                                    ,[]
430,0206040X0,Cilostazol                                                  ,N7Z035406B
431,0206040Y0,Bamethan Sulf                                               ,Y08ZFJ9TFK
432,0206040Z0,Diosmin                                                     ,7QM776WJ5N
433,020604000,Other Peripheral VasodilatorRelatedPreps                    ,[]
434,0206050K0,Flosequinan                                                 ,6NB119DLU7
435,0206100M0,Molsidomine                                                 ,D46583G77X
436,0207010D0,Dobutamine Hydrochloride                                    ,3S12J47372
437,0207010F0,Dopamine Hydrochloride                                      ,VTD58H1Z2X
438,0207010G0,Etilefrine Hydrochloride                                    ,ZB6F8MY53V
439,0207010H0,Isoprenaline Hydrochloride                                  ,L628TT009W
440,0207010X0,Xamoterol Fumarate                                          ,7HE0JQL703
441,0207010Y0,Dopexamine Hydrochloride                                    ,398E7Z7JB5
442,0207020L0,Metaraminol                                                 ,818U2PZ2EH
