"Fold","Type","Index","GeographyCode"
1,"Train",16259,"E01018806"
1,"Train",16352,"E01018917"
1,"Train",16310,"E01018866"
1,"Train",16273,"E01018823"
1,"Train",16268,"E01018818"
1,"Train",16309,"E01018865"
1,"Train",16312,"E01018869"
1,"Train",16339,"E01018901"
1,"Train",16334,"E01018896"
1,"Train",16303,"E01018857"
1,"Train",16305,"E01018859"
1,"Train",16258,"E01018805"
1,"Train",16343,"E01018908"
1,"Train",16277,"E01018827"
1,"Train",16327,"E01018889"
1,"Train",16356,"E01018921"
1,"Train",16272,"E01018822"
1,"Train",16308,"E01018864"
1,"Train",16357,"E01018922"
1,"Train",16260,"E01018807"
1,"Train",16286,"E01018837"
1,"Train",16307,"E01018863"
1,"Train",16321,"E01018878"
1,"Train",16335,"E01018897"
1,"Train",16338,"E01018900"
1,"Train",16355,"E01018920"
1,"Train",16266,"E01018816"
1,"Train",16290,"E01018841"
1,"Train",16257,"E01018804"
1,"Train",16347,"E01018912"
1,"Train",16256,"E01018803"
1,"Train",16332,"E01018894"
1,"Train",16345,"E01018910"
1,"Train",16304,"E01018858"
1,"Train",16346,"E01018911"
1,"Train",16326,"E01018886"
1,"Train",16331,"E01018893"
1,"Train",16279,"E01018829"
1,"Train",16317,"E01018874"
1,"Train",16264,"E01018814"
1,"Train",16340,"E01018902"
1,"Train",16351,"E01018916"
1,"Train",16285,"E01018836"
1,"Train",16323,"E01018880"
1,"Train",16284,"E01018835"
1,"Train",16452,"E01019061"
1,"Train",16281,"E01018831"
1,"Train",16465,"E01019075"
1,"Train",16441,"E01019050"
1,"Train",16429,"E01019014"
1,"Train",16295,"E01018846"
1,"Train",16444,"E01019053"
1,"Train",16359,"E01018924"
1,"Train",16387,"E01018954"
1,"Train",16265,"E01018815"
1,"Train",16389,"E01018956"
1,"Train",16451,"E01019060"
1,"Train",16453,"E01019062"
1,"Train",16457,"E01019066"
1,"Train",16461,"E01019071"
1,"Train",16439,"E01019045"
1,"Train",16443,"E01019052"
1,"Train",16297,"E01018848"
1,"Train",16466,"E01019076"
1,"Train",16459,"E01019069"
1,"Train",16430,"E01019015"
1,"Train",16458,"E01019068"
1,"Train",16464,"E01019074"
1,"Train",16271,"E01018821"
1,"Train",16446,"E01019055"
1,"Train",16440,"E01019048"
1,"Train",16460,"E01019070"
1,"Train",16445,"E01019054"
1,"Train",16390,"E01018957"
1,"Train",16455,"E01019064"
1,"Train",16454,"E01019063"
1,"Train",16388,"E01018955"
1,"Train",16462,"E01019072"
1,"Train",16463,"E01019073"
1,"Train",16434,"E01019034"
1,"Train",16442,"E01019051"
1,"Train",16293,"E01018844"
1,"Train",16456,"E01019065"
1,"Train",16391,"E01018958"
1,"Train",16296,"E01018847"
1,"Train",16291,"E01018842"
1,"Train",16428,"E01019013"
1,"Train",16292,"E01018843"
1,"Train",16438,"E01019039"
1,"Train",16404,"E01018973"
1,"Train",16358,"E01018923"
1,"Train",16395,"E01018962"
1,"Train",16375,"E01018941"
1,"Train",16402,"E01018971"
1,"Train",28842,"E01033292"
1,"Train",28840,"E01033289"
1,"Train",28841,"E01033291"
1,"Train",16376,"E01018942"
1,"Train",16379,"E01018945"
1,"Train",16403,"E01018972"
1,"Train",16374,"E01018940"
1,"Train",16360,"E01018925"
1,"Train",16401,"E01018970"
1,"Train",16216,"E01018757"
1,"Train",16230,"E01018773"
1,"Train",16433,"E01019026"
1,"Train",16361,"E01018926"
1,"Train",16367,"E01018932"
1,"Train",16369,"E01018934"
1,"Train",16378,"E01018944"
1,"Train",16219,"E01018761"
1,"Train",16364,"E01018929"
1,"Train",16436,"E01019036"
1,"Train",16362,"E01018927"
1,"Train",16363,"E01018928"
1,"Train",16226,"E01018768"
1,"Train",16432,"E01019025"
1,"Train",16435,"E01019035"
1,"Train",16231,"E01018774"
1,"Train",16224,"E01018766"
1,"Train",16227,"E01018770"
1,"Train",16239,"E01018784"
1,"Train",16370,"E01018935"
1,"Train",16237,"E01018782"
1,"Train",16217,"E01018759"
1,"Train",16218,"E01018760"
1,"Train",16431,"E01019024"
1,"Train",16447,"E01019056"
1,"Train",16365,"E01018930"
1,"Train",16233,"E01018778"
1,"Train",16368,"E01018933"
1,"Train",16238,"E01018783"
1,"Train",16232,"E01018777"
1,"Train",16240,"E01018785"
1,"Train",16225,"E01018767"
1,"Train",16366,"E01018931"
1,"Train",16234,"E01018779"
1,"Train",16229,"E01018772"
1,"Train",16449,"E01019058"
1,"Train",16228,"E01018771"
1,"Train",16448,"E01019057"
1,"Train",16220,"E01018762"
1,"Train",16437,"E01019037"
1,"Train",16450,"E01019059"
1,"Train",16371,"E01018936"
1,"Train",16373,"E01018938"
1,"Train",16394,"E01018961"
1,"Train",16400,"E01018969"
1,"Train",16377,"E01018943"
1,"Train",16384,"E01018951"
1,"Train",16392,"E01018959"
1,"Train",17556,"E01020293"
1,"Train",16372,"E01018937"
1,"Train",16393,"E01018960"
1,"Train",16399,"E01018968"
1,"Train",17551,"E01020288"
1,"Train",16382,"E01018949"
1,"Train",16397,"E01018966"
1,"Train",16212,"E01018753"
1,"Train",16383,"E01018950"
1,"Train",16398,"E01018967"
1,"Train",16210,"E01018751"
1,"Train",16405,"E01018974"
1,"Train",16386,"E01018953"
1,"Train",17585,"E01020324"
1,"Train",16396,"E01018965"
1,"Train",16211,"E01018752"
1,"Train",16381,"E01018948"
1,"Train",16385,"E01018952"
1,"Train",16380,"E01018946"
1,"Train",17586,"E01020325"
1,"Train",17547,"E01020284"
1,"Train",17546,"E01020283"
1,"Train",17542,"E01020279"
1,"Train",17548,"E01020285"
1,"Train",17543,"E01020280"
1,"Train",17563,"E01020300"
1,"Train",17544,"E01020281"
1,"Train",17555,"E01020292"
1,"Train",17561,"E01020298"
1,"Train",17545,"E01020282"
1,"Train",17560,"E01020297"
1,"Train",17363,"E01020091"
1,"Train",17562,"E01020299"
1,"Train",17539,"E01020276"
1,"Train",17559,"E01020296"
1,"Train",13287,"E01015113"
1,"Train",13256,"E01015081"
1,"Train",13336,"E01015167"
1,"Train",13326,"E01015155"
1,"Train",13220,"E01015043"
1,"Train",13233,"E01015057"
1,"Train",17603,"E01020342"
1,"Train",13274,"E01015100"
1,"Train",13284,"E01015110"
1,"Train",17599,"E01020338"
1,"Train",13291,"E01015117"
1,"Train",16252,"E01018797"
1,"Train",13240,"E01015065"
1,"Train",16244,"E01018789"
1,"Train",17578,"E01020316"
1,"Train",13339,"E01015170"
1,"Train",13273,"E01015099"
1,"Train",17575,"E01020313"
1,"Train",13247,"E01015072"
1,"Train",16215,"E01018756"
1,"Train",13325,"E01015152"
1,"Train",13235,"E01015060"
1,"Train",13230,"E01015054"
1,"Train",16236,"E01018781"
1,"Train",13294,"E01015120"
1,"Train",13262,"E01015087"
1,"Train",13265,"E01015091"
1,"Train",13342,"E01015173"
1,"Train",13316,"E01015143"
1,"Train",13224,"E01015047"
1,"Train",13300,"E01015126"
1,"Train",13333,"E01015164"
1,"Train",13244,"E01015069"
1,"Train",13222,"E01015045"
1,"Train",13322,"E01015149"
1,"Train",13239,"E01015064"
1,"Train",13248,"E01015073"
1,"Train",13286,"E01015112"
1,"Train",13338,"E01015169"
1,"Train",13313,"E01015140"
1,"Train",16221,"E01018763"
1,"Train",16242,"E01018787"
1,"Train",13277,"E01015103"
1,"Train",13320,"E01015147"
1,"Train",13271,"E01015097"
1,"Train",13245,"E01015070"
1,"Train",13253,"E01015078"
1,"Train",13259,"E01015084"
1,"Train",17595,"E01020334"
1,"Train",13257,"E01015082"
1,"Train",13318,"E01015145"
1,"Train",13231,"E01015055"
1,"Train",13340,"E01015171"
1,"Train",13305,"E01015131"
1,"Train",13250,"E01015075"
1,"Train",13272,"E01015098"
1,"Train",17577,"E01020315"
1,"Train",16241,"E01018786"
1,"Train",13234,"E01015058"
1,"Train",13349,"E01015182"
1,"Train",16209,"E01018750"
1,"Train",13275,"E01015101"
1,"Train",13314,"E01015141"
1,"Train",13206,"E01015028"
1,"Train",16250,"E01018795"
1,"Train",13323,"E01015150"
1,"Train",13282,"E01015108"
1,"Train",13299,"E01015125"
1,"Train",13327,"E01015156"
1,"Train",13266,"E01015092"
1,"Train",17414,"E01020144"
1,"Train",13319,"E01015146"
1,"Train",13283,"E01015109"
1,"Train",13242,"E01015067"
1,"Train",13304,"E01015130"
1,"Train",16254,"E01018799"
1,"Train",13315,"E01015142"
1,"Train",13302,"E01015128"
1,"Train",13310,"E01015137"
1,"Train",13288,"E01015114"
1,"Train",16255,"E01018800"
1,"Train",13347,"E01015180"
1,"Train",13303,"E01015129"
1,"Train",13241,"E01015066"
1,"Train",13225,"E01015048"
1,"Train",13227,"E01015051"
1,"Train",28409,"E01032658"
1,"Train",16214,"E01018755"
1,"Train",13232,"E01015056"
1,"Train",13201,"E01015023"
1,"Train",13317,"E01015144"
1,"Train",13293,"E01015119"
1,"Train",13329,"E01015160"
1,"Train",28408,"E01032657"
1,"Train",13280,"E01015106"
1,"Train",16253,"E01018798"
1,"Train",16243,"E01018788"
1,"Train",13237,"E01015062"
1,"Train",13228,"E01015052"
1,"Train",13207,"E01015029"
1,"Train",16251,"E01018796"
1,"Train",13307,"E01015133"
1,"Train",13219,"E01015042"
1,"Train",13321,"E01015148"
1,"Train",13212,"E01015035"
1,"Train",16235,"E01018780"
1,"Train",13309,"E01015136"
1,"Train",16246,"E01018791"
1,"Train",13324,"E01015151"
1,"Train",13267,"E01015093"
1,"Train",13278,"E01015104"
1,"Train",13337,"E01015168"
1,"Train",16213,"E01018754"
1,"Train",13221,"E01015044"
1,"Train",13209,"E01015032"
1,"Train",13332,"E01015163"
1,"Train",13298,"E01015124"
1,"Train",13208,"E01015030"
1,"Train",16247,"E01018792"
1,"Train",13289,"E01015115"
1,"Train",13285,"E01015111"
1,"Train",16249,"E01018794"
1,"Train",13348,"E01015181"
1,"Train",13269,"E01015095"
1,"Train",13214,"E01015037"
1,"Train",13331,"E01015162"
1,"Train",13226,"E01015049"
1,"Train",13255,"E01015080"
1,"Train",13251,"E01015076"
1,"Train",16222,"E01018764"
1,"Train",13312,"E01015139"
1,"Train",13268,"E01015094"
1,"Train",17596,"E01020335"
1,"Train",13210,"E01015033"
1,"Train",13213,"E01015036"
1,"Train",13346,"E01015179"
1,"Train",13335,"E01015166"
1,"Train",13211,"E01015034"
1,"Train",13334,"E01015165"
1,"Train",28843,"E01033294"
1,"Train",13260,"E01015085"
1,"Train",13295,"E01015121"
1,"Train",16223,"E01018765"
1,"Train",13276,"E01015102"
1,"Train",13202,"E01015024"
1,"Train",13223,"E01015046"
1,"Train",13290,"E01015116"
1,"Train",17597,"E01020336"
1,"Train",13258,"E01015083"
1,"Train",13301,"E01015127"
1,"Train",13217,"E01015040"
1,"Train",13281,"E01015107"
1,"Train",13249,"E01015074"
1,"Train",13296,"E01015122"
1,"Train",13229,"E01015053"
1,"Train",16248,"E01018793"
1,"Train",13270,"E01015096"
1,"Train",13215,"E01015038"
1,"Train",17574,"E01020312"
1,"Train",13246,"E01015071"
1,"Train",13205,"E01015027"
1,"Train",13311,"E01015138"
1,"Train",13252,"E01015077"
1,"Train",17593,"E01020332"
1,"Train",13263,"E01015089"
1,"Train",13306,"E01015132"
1,"Train",13344,"E01015177"
1,"Train",13330,"E01015161"
1,"Train",13328,"E01015159"
1,"Train",17594,"E01020333"
1,"Train",13236,"E01015061"
1,"Train",13243,"E01015068"
1,"Train",13343,"E01015176"
1,"Train",13261,"E01015086"
1,"Train",13218,"E01015041"
1,"Train",13279,"E01015105"
1,"Train",13341,"E01015172"
1,"Train",16245,"E01018790"
1,"Train",13203,"E01015025"
1,"Train",13264,"E01015090"
1,"Train",17454,"E01020187"
1,"Train",13204,"E01015026"
1,"Train",13345,"E01015178"
1,"Train",13238,"E01015063"
1,"Train",13308,"E01015134"
1,"Train",13216,"E01015039"
1,"Train",13254,"E01015079"
1,"Train",17416,"E01020146"
1,"Train",13297,"E01015123"
1,"Train",13292,"E01015118"
1,"Train",17565,"E01020302"
1,"Train",17583,"E01020321"
1,"Train",17553,"E01020290"
1,"Train",17558,"E01020295"
1,"Train",17564,"E01020301"
1,"Train",17550,"E01020287"
1,"Train",17570,"E01020307"
1,"Train",17567,"E01020304"
1,"Train",17569,"E01020306"
1,"Train",17582,"E01020320"
1,"Train",17566,"E01020303"
1,"Train",17557,"E01020294"
1,"Train",17552,"E01020289"
1,"Train",17549,"E01020286"
1,"Train",17571,"E01020308"
1,"Train",17554,"E01020291"
1,"Train",17572,"E01020309"
1,"Train",17568,"E01020305"
1,"Train",17384,"E01020113"
1,"Train",17389,"E01020118"
1,"Train",17383,"E01020112"
1,"Train",17387,"E01020116"
1,"Train",17372,"E01020100"
1,"Train",17382,"E01020111"
1,"Train",17388,"E01020117"
1,"Train",17385,"E01020114"
1,"Train",17380,"E01020109"
1,"Train",17457,"E01020190"
1,"Train",17442,"E01020173"
1,"Train",17429,"E01020159"
1,"Train",17417,"E01020147"
1,"Train",17443,"E01020174"
1,"Train",17591,"E01020330"
1,"Train",17590,"E01020329"
1,"Train",17589,"E01020328"
1,"Train",17502,"E01020237"
1,"Train",17584,"E01020323"
1,"Train",17602,"E01020341"
1,"Train",17581,"E01020319"
1,"Train",17592,"E01020331"
1,"Train",17580,"E01020318"
1,"Train",17576,"E01020314"
1,"Train",17601,"E01020340"
1,"Train",17579,"E01020317"
1,"Train",17598,"E01020337"
1,"Train",17427,"E01020157"
1,"Train",17588,"E01020327"
1,"Train",17425,"E01020155"
1,"Train",13350,"E01015190"
1,"Train",13388,"E01015234"
1,"Train",13351,"E01015191"
1,"Train",17435,"E01020165"
1,"Train",17440,"E01020170"
1,"Train",17451,"E01020182"
1,"Train",17465,"E01020198"
1,"Train",13352,"E01015192"
1,"Train",17460,"E01020193"
1,"Train",17422,"E01020152"
1,"Train",17433,"E01020163"
1,"Train",17464,"E01020197"
1,"Train",13354,"E01015194"
1,"Train",17430,"E01020160"
1,"Train",17415,"E01020145"
1,"Train",17450,"E01020181"
1,"Train",17492,"E01020226"
1,"Train",17466,"E01020199"
1,"Train",17493,"E01020227"
1,"Train",13360,"E01015201"
1,"Train",17431,"E01020161"
1,"Train",17449,"E01020180"
1,"Train",17428,"E01020158"
1,"Train",13375,"E01015221"
1,"Train",17437,"E01020167"
1,"Train",17448,"E01020179"
1,"Train",17432,"E01020162"
1,"Train",17503,"E01020238"
1,"Train",13362,"E01015203"
1,"Train",17453,"E01020184"
1,"Train",17504,"E01020239"
1,"Train",17424,"E01020154"
1,"Train",17419,"E01020149"
1,"Train",17513,"E01020248"
1,"Train",17461,"E01020194"
1,"Train",17434,"E01020164"
1,"Train",13355,"E01015196"
1,"Train",17452,"E01020183"
1,"Train",13391,"E01015250"
1,"Train",13374,"E01015220"
1,"Train",17439,"E01020169"
1,"Train",17436,"E01020166"
1,"Train",17413,"E01020143"
1,"Train",17444,"E01020175"
1,"Train",13356,"E01015197"
1,"Train",17420,"E01020150"
1,"Train",17445,"E01020176"
1,"Train",17438,"E01020168"
1,"Train",17455,"E01020188"
1,"Train",17463,"E01020196"
1,"Train",17421,"E01020151"
1,"Train",17418,"E01020148"
1,"Train",13357,"E01015198"
1,"Train",13353,"E01015193"
1,"Train",17446,"E01020177"
1,"Train",25485,"E01029336"
1,"Train",17528,"E01020265"
1,"Train",17312,"E01020038"
1,"Train",17494,"E01020228"
1,"Train",17458,"E01020191"
1,"Train",17467,"E01020200"
1,"Train",17207,"E01019903"
1,"Train",17277,"E01019996"
1,"Train",28799,"E01033235"
1,"Train",17536,"E01020273"
1,"Train",17482,"E01020216"
1,"Train",17285,"E01020004"
1,"Train",17498,"E01020233"
1,"Train",17488,"E01020222"
1,"Train",17297,"E01020018"
1,"Train",17515,"E01020250"
1,"Train",17473,"E01020206"
1,"Train",17497,"E01020232"
1,"Train",17314,"E01020040"
1,"Train",17304,"E01020026"
1,"Train",17252,"E01019969"
1,"Train",17298,"E01020020"
1,"Train",17535,"E01020272"
1,"Train",17495,"E01020230"
1,"Train",17257,"E01019974"
1,"Train",17471,"E01020204"
1,"Train",17475,"E01020209"
1,"Train",17256,"E01019973"
1,"Train",17284,"E01020003"
1,"Train",17491,"E01020225"
1,"Train",17262,"E01019981"
1,"Train",17292,"E01020012"
1,"Train",17534,"E01020271"
1,"Train",17282,"E01020001"
1,"Train",17519,"E01020254"
1,"Train",28797,"E01033232"
1,"Train",17251,"E01019968"
1,"Train",17264,"E01019983"
1,"Train",17274,"E01019993"
1,"Train",17305,"E01020027"
1,"Train",17286,"E01020005"
1,"Train",17303,"E01020025"
1,"Train",17300,"E01020022"
1,"Train",17469,"E01020202"
1,"Train",17470,"E01020203"
1,"Train",17459,"E01020192"
1,"Train",17306,"E01020029"
1,"Train",17310,"E01020036"
1,"Train",17472,"E01020205"
1,"Train",17313,"E01020039"
1,"Train",17484,"E01020218"
1,"Train",17532,"E01020269"
1,"Train",17287,"E01020006"
1,"Train",17526,"E01020263"
1,"Train",17295,"E01020015"
1,"Train",17533,"E01020270"
1,"Train",17479,"E01020213"
1,"Train",28800,"E01033236"
1,"Train",17299,"E01020021"
1,"Train",17501,"E01020236"
1,"Train",17510,"E01020245"
1,"Train",17273,"E01019992"
1,"Train",17269,"E01019988"
1,"Train",17228,"E01019945"
1,"Train",17248,"E01019965"
1,"Train",17356,"E01020083"
1,"Train",17258,"E01019975"
1,"Train",17290,"E01020010"
1,"Train",17486,"E01020220"
1,"Train",17280,"E01019999"
1,"Train",17341,"E01020068"
1,"Train",17271,"E01019990"
1,"Train",17531,"E01020268"
1,"Train",17468,"E01020201"
1,"Train",17474,"E01020208"
1,"Train",17499,"E01020234"
1,"Train",17489,"E01020223"
1,"Train",17281,"E01020000"
1,"Train",17268,"E01019987"
1,"Train",17524,"E01020259"
1,"Train",17522,"E01020257"
1,"Train",17490,"E01020224"
1,"Train",17253,"E01019970"
1,"Train",17296,"E01020017"
1,"Train",17537,"E01020274"
1,"Train",17485,"E01020219"
1,"Train",17520,"E01020255"
1,"Train",17267,"E01019986"
1,"Train",17476,"E01020210"
1,"Train",17530,"E01020267"
1,"Train",17477,"E01020211"
1,"Train",17514,"E01020249"
1,"Train",17259,"E01019976"
1,"Train",17289,"E01020009"
1,"Train",17527,"E01020264"
1,"Train",17509,"E01020244"
1,"Train",17255,"E01019972"
1,"Train",17505,"E01020240"
1,"Train",17506,"E01020241"
1,"Train",17276,"E01019995"
1,"Train",17265,"E01019984"
1,"Train",28798,"E01033234"
1,"Train",17487,"E01020221"
1,"Train",17291,"E01020011"
1,"Train",17483,"E01020217"
1,"Train",17521,"E01020256"
1,"Train",17260,"E01019977"
1,"Train",17270,"E01019989"
1,"Train",17518,"E01020253"
1,"Train",17508,"E01020243"
1,"Train",17480,"E01020214"
1,"Train",17517,"E01020252"
1,"Train",17263,"E01019982"
1,"Train",17302,"E01020024"
1,"Train",17462,"E01020195"
1,"Train",17283,"E01020002"
1,"Train",17523,"E01020258"
1,"Train",17293,"E01020013"
1,"Train",17311,"E01020037"
1,"Train",17261,"E01019980"
1,"Train",17496,"E01020231"
1,"Train",17288,"E01020008"
1,"Train",17507,"E01020242"
1,"Train",17275,"E01019994"
1,"Train",17301,"E01020023"
1,"Train",17272,"E01019991"
1,"Train",17308,"E01020031"
1,"Train",17294,"E01020014"
1,"Train",17254,"E01019971"
1,"Train",17278,"E01019997"
1,"Train",17266,"E01019985"
1,"Train",17478,"E01020212"
1,"Train",17516,"E01020251"
1,"Train",17309,"E01020032"
1,"Train",17481,"E01020215"
1,"Train",17279,"E01019998"
1,"Train",17529,"E01020266"
1,"Train",17307,"E01020030"
1,"Train",17500,"E01020235"
1,"Train",17320,"E01020046"
1,"Train",17402,"E01020131"
1,"Train",25479,"E01029328"
1,"Train",25478,"E01029327"
1,"Train",17397,"E01020126"
1,"Train",25476,"E01029325"
1,"Train",17353,"E01020080"
1,"Train",25477,"E01029326"
1,"Train",17324,"E01020050"
1,"Train",16613,"E01019273"
1,"Train",16622,"E01019284"
1,"Train",16631,"E01019295"
1,"Train",16495,"E01019108"
1,"Train",16498,"E01019111"
1,"Train",16507,"E01019120"
1,"Train",16604,"E01019262"
1,"Train",16628,"E01019292"
1,"Train",16602,"E01019260"
1,"Train",16621,"E01019282"
1,"Train",16598,"E01019256"
1,"Train",16499,"E01019112"
1,"Train",16497,"E01019110"
1,"Train",16632,"E01019296"
1,"Train",16624,"E01019286"
1,"Train",16505,"E01019118"
1,"Train",16635,"E01019301"
1,"Train",16608,"E01019267"
1,"Train",16496,"E01019109"
1,"Train",16630,"E01019294"
1,"Train",16605,"E01019264"
1,"Train",16500,"E01019113"
1,"Train",16636,"E01019302"
1,"Train",16489,"E01019100"
1,"Train",16504,"E01019117"
1,"Train",16615,"E01019275"
1,"Train",16606,"E01019265"
1,"Train",16623,"E01019285"
1,"Train",16627,"E01019291"
1,"Train",16620,"E01019281"
1,"Train",16619,"E01019280"
1,"Train",16508,"E01019121"
1,"Train",16625,"E01019287"
1,"Train",16490,"E01019101"
1,"Train",16609,"E01019269"
1,"Train",16603,"E01019261"
1,"Train",16610,"E01019270"
1,"Train",16626,"E01019288"
1,"Train",17322,"E01020048"
1,"Train",17344,"E01020071"
1,"Train",17323,"E01020049"
1,"Train",17338,"E01020064"
1,"Train",17216,"E01019932"
1,"Train",17243,"E01019960"
1,"Train",17348,"E01020075"
1,"Train",17200,"E01019891"
1,"Train",17330,"E01020056"
1,"Train",17329,"E01020055"
1,"Train",17333,"E01020059"
1,"Train",17331,"E01020057"
1,"Train",17319,"E01020045"
1,"Train",17339,"E01020065"
1,"Train",17318,"E01020044"
1,"Train",17340,"E01020067"
1,"Train",17211,"E01019927"
1,"Train",17336,"E01020062"
1,"Train",17352,"E01020079"
1,"Train",17332,"E01020058"
1,"Train",17326,"E01020052"
1,"Train",17354,"E01020081"
1,"Train",17214,"E01019930"
1,"Train",17245,"E01019962"
1,"Train",17317,"E01020043"
1,"Train",17351,"E01020078"
1,"Train",17325,"E01020051"
1,"Train",17242,"E01019959"
1,"Train",25473,"E01029321"
1,"Train",17223,"E01019939"
1,"Train",17321,"E01020047"
1,"Train",17337,"E01020063"
1,"Train",17328,"E01020054"
1,"Train",17210,"E01019925"
1,"Train",17212,"E01019928"
1,"Train",17327,"E01020053"
1,"Train",17222,"E01019938"
1,"Train",28391,"E01032628"
1,"Train",25483,"E01029333"
1,"Train",25475,"E01029324"
1,"Train",25482,"E01029331"
1,"Train",25481,"E01029330"
1,"Train",25474,"E01029322"
1,"Train",25480,"E01029329"
1,"Train",28395,"E01032636"
1,"Train",16614,"E01019274"
1,"Train",16599,"E01019257"
1,"Train",16612,"E01019272"
1,"Train",16600,"E01019258"
1,"Train",16607,"E01019266"
1,"Train",16611,"E01019271"
1,"Train",16634,"E01019300"
1,"Train",16479,"E01019090"
1,"Train",16510,"E01019123"
1,"Train",16512,"E01019125"
1,"Train",16471,"E01019082"
1,"Train",16511,"E01019124"
1,"Train",16485,"E01019096"
1,"Train",16488,"E01019099"
1,"Train",16475,"E01019086"
1,"Train",16470,"E01019081"
1,"Train",16487,"E01019098"
1,"Train",16509,"E01019122"
1,"Train",16501,"E01019114"
1,"Train",16482,"E01019093"
1,"Train",16473,"E01019084"
1,"Train",16491,"E01019102"
1,"Train",16502,"E01019115"
1,"Train",16484,"E01019095"
1,"Train",16503,"E01019116"
1,"Train",16483,"E01019094"
1,"Train",16486,"E01019097"
1,"Train",17220,"E01019936"
1,"Train",17236,"E01019953"
1,"Train",17235,"E01019952"
1,"Train",17215,"E01019931"
1,"Train",17238,"E01019955"
1,"Train",17234,"E01019951"
1,"Train",17247,"E01019964"
1,"Train",17209,"E01019924"
1,"Train",17225,"E01019942"
1,"Train",17224,"E01019940"
1,"Train",17241,"E01019958"
1,"Train",17227,"E01019944"
1,"Train",17239,"E01019956"
1,"Train",17202,"E01019898"
1,"Train",17203,"E01019899"
1,"Train",17199,"E01019890"
1,"Train",17208,"E01019905"
1,"Train",17230,"E01019947"
1,"Train",17221,"E01019937"
1,"Train",17244,"E01019961"
1,"Train",17246,"E01019963"
1,"Train",17201,"E01019895"
1,"Train",17226,"E01019943"
1,"Train",17231,"E01019948"
1,"Train",17204,"E01019900"
1,"Train",17232,"E01019949"
1,"Train",17237,"E01019954"
1,"Train",17229,"E01019946"
1,"Train",17205,"E01019901"
1,"Train",17219,"E01019935"
1,"Train",17233,"E01019950"
1,"Train",17240,"E01019957"
1,"Train",17218,"E01019934"
1,"Train",25444,"E01029289"
1,"Train",25458,"E01029303"
1,"Train",25302,"E01029142"
1,"Train",25415,"E01029259"
1,"Train",25428,"E01029273"
1,"Train",25436,"E01029281"
1,"Train",25264,"E01029102"
1,"Train",25441,"E01029286"
1,"Train",25439,"E01029284"
1,"Train",25417,"E01029261"
1,"Train",25461,"E01029306"
1,"Train",25464,"E01029310"
1,"Train",25261,"E01029099"
1,"Train",25266,"E01029104"
1,"Train",25259,"E01029097"
1,"Train",25297,"E01029135"
1,"Train",25462,"E01029307"
1,"Train",25463,"E01029308"
1,"Train",25468,"E01029315"
1,"Train",25455,"E01029300"
1,"Train",25489,"E01029343"
1,"Train",28394,"E01032634"
1,"Train",25449,"E01029294"
1,"Train",25420,"E01029264"
1,"Train",25286,"E01029124"
1,"Train",25459,"E01029304"
1,"Train",25419,"E01029263"
1,"Train",25423,"E01029267"
1,"Train",28393,"E01032632"
1,"Train",25435,"E01029280"
1,"Train",25416,"E01029260"
1,"Train",25438,"E01029283"
1,"Train",25445,"E01029290"
1,"Train",25432,"E01029277"
